data,TempoEpochUTC,Contagem,Contagem_corr
2026-01-04 18:30:00+00:00,1767551400,1857.6,1870.55
2026-01-04 18:45:00+00:00,1767552300,1854.0,1866.6
2026-01-04 19:00:00+00:00,1767553200,1850.4,1862.65
2026-01-04 19:15:00+00:00,1767554100,1857.6,1869.64
2026-01-04 19:30:00+00:00,1767555000,1864.8,1876.62
2026-01-04 19:45:00+00:00,1767555900,1864.8,1876.43
2026-01-04 20:00:00+00:00,1767556800,1864.8,1876.24
2026-01-04 20:15:00+00:00,1767557700,1861.2,1872.5
2026-01-04 20:30:00+00:00,1767558600,1857.6,1868.75
2026-01-04 20:45:00+00:00,1767559500,1857.6,1868.69
2026-01-04 21:00:00+00:00,1767560400,1857.6,1868.63
2026-01-04 21:15:00+00:00,1767561300,1861.2,1872.26
2026-01-04 21:30:00+00:00,1767562200,1864.8,1875.88
2026-01-04 21:45:00+00:00,1767563100,1872.0,1883.2
2026-01-04 22:00:00+00:00,1767564000,1879.2,1890.51
2026-01-04 22:15:00+00:00,1767564900,1868.4,1879.78
2026-01-04 22:30:00+00:00,1767565800,1857.6,1869.04
2026-01-04 22:45:00+00:00,1767566700,1857.6,1869.22
2026-01-04 23:00:00+00:00,1767567600,1857.6,1869.41
2026-01-04 23:15:00+00:00,1767568500,1854.0,1866.02
2026-01-04 23:30:00+00:00,1767569400,1850.4,1862.63
2026-01-04 23:45:00+00:00,1767570300,1854.0,1866.52
2026-01-05 00:00:00+00:00,1767571200,1857.6,1870.41
2026-01-05 00:15:00+00:00,1767572100,1854.0,1867.06
2026-01-05 00:30:00+00:00,1767573000,1850.4,1863.7
2026-01-05 00:45:00+00:00,1767573900,1854.0,1867.57
2026-01-05 01:00:00+00:00,1767574800,1857.6,1871.44
2026-01-05 01:15:00+00:00,1767575700,1850.4,1864.36
2026-01-05 01:30:00+00:00,1767576600,1843.2,1857.29
2026-01-05 01:45:00+00:00,1767577500,1857.6,1871.9
2026-01-05 02:00:00+00:00,1767578400,1872.0,1886.5
2026-01-05 02:15:00+00:00,1767579300,1861.2,1875.61
2026-01-05 02:30:00+00:00,1767580200,1850.4,1864.72
2026-01-05 02:45:00+00:00,1767581100,1846.8,1860.98
2026-01-05 03:00:00+00:00,1767582000,1843.2,1857.24
2026-01-05 03:15:00+00:00,1767582900,1850.4,1864.3
2026-01-05 03:30:00+00:00,1767583800,1857.6,1871.36
2026-01-05 03:45:00+00:00,1767584700,1857.6,1871.11
2026-01-05 04:00:00+00:00,1767585600,1857.6,1870.86
2026-01-05 04:15:00+00:00,1767586500,1861.2,1874.22
2026-01-05 04:30:00+00:00,1767587400,1864.8,1877.57
2026-01-05 04:45:00+00:00,1767588300,1868.4,1880.94
2026-01-05 05:00:00+00:00,1767589200,1872.0,1884.3
2026-01-05 05:15:00+00:00,1767590100,1861.2,1873.22
2026-01-05 05:30:00+00:00,1767591000,1850.4,1862.13
2026-01-05 05:45:00+00:00,1767591900,1857.6,1869.21
2026-01-05 06:00:00+00:00,1767592800,1864.8,1876.29
2026-01-05 06:15:00+00:00,1767593700,1861.2,1872.58
2026-01-05 06:30:00+00:00,1767594600,1857.6,1868.86
2026-01-05 06:45:00+00:00,1767595500,1854.0,1865.21
2026-01-05 07:00:00+00:00,1767596400,1850.4,1861.56
2026-01-05 07:15:00+00:00,1767597300,1864.8,1876.1
2026-01-05 07:30:00+00:00,1767598200,1879.2,1890.64
2026-01-05 07:45:00+00:00,1767599100,1875.6,1887.14
2026-01-05 08:00:00+00:00,1767600000,1872.0,1883.63
2026-01-05 08:15:00+00:00,1767600900,1864.8,1876.57
2026-01-05 08:30:00+00:00,1767601800,1857.6,1869.51
2026-01-05 08:45:00+00:00,1767602700,1857.6,1869.75
2026-01-05 09:00:00+00:00,1767603600,1857.6,1869.99
2026-01-05 09:15:00+00:00,1767604500,1861.2,1873.88
2026-01-05 09:30:00+00:00,1767605400,1864.8,1877.78
2026-01-05 09:45:00+00:00,1767606300,1861.2,1874.42
2026-01-05 10:00:00+00:00,1767607200,1857.6,1871.07
2026-01-05 10:15:00+00:00,1767608100,1864.8,1878.57
2026-01-05 10:30:00+00:00,1767609000,1872.0,1886.07
2026-01-05 10:45:00+00:00,1767609900,1868.4,1882.62
2026-01-05 11:00:00+00:00,1767610800,1864.8,1879.17
2026-01-05 11:15:00+00:00,1767611700,1861.2,1875.63
2026-01-05 11:30:00+00:00,1767612600,1857.6,1872.09
2026-01-05 11:45:00+00:00,1767613500,1857.6,1872.07
2026-01-05 12:00:00+00:00,1767614400,1857.6,1872.05
2026-01-05 12:15:00+00:00,1767615300,1857.6,1871.92
2026-01-05 12:30:00+00:00,1767616200,1857.6,1871.79
2026-01-05 12:45:00+00:00,1767617100,1868.4,1882.44
2026-01-05 13:00:00+00:00,1767618000,1879.2,1893.1
2026-01-05 13:15:00+00:00,1767618900,1868.4,1881.92
2026-01-05 13:30:00+00:00,1767619800,1857.6,1870.75
2026-01-05 13:45:00+00:00,1767620700,1854.0,1866.78
2026-01-05 14:00:00+00:00,1767621600,1850.4,1862.82
2026-01-05 14:15:00+00:00,1767622500,1861.2,1873.32
2026-01-05 14:30:00+00:00,1767623400,1872.0,1883.82
2026-01-05 14:45:00+00:00,1767624300,1868.4,1879.81
2026-01-05 15:00:00+00:00,1767625200,1864.8,1875.8
2026-01-05 15:15:00+00:00,1767626100,1868.4,1879.02
2026-01-05 15:30:00+00:00,1767627000,1872.0,1882.24
2026-01-05 15:45:00+00:00,1767627900,1864.8,1874.58
2026-01-05 16:00:00+00:00,1767628800,1857.6,1866.93
2026-01-05 16:15:00+00:00,1767629700,1857.6,1866.5
2026-01-05 16:30:00+00:00,1767630600,1857.6,1866.06
2026-01-05 16:45:00+00:00,1767631500,1854.0,1862.0
2026-01-05 17:00:00+00:00,1767632400,1850.4,1857.93
2026-01-05 17:15:00+00:00,1767633300,1861.2,1868.32
2026-01-05 17:30:00+00:00,1767634200,1872.0,1878.7
2026-01-05 17:45:00+00:00,1767635100,1868.4,1874.64
2026-01-05 18:00:00+00:00,1767636000,1864.8,1870.58
2026-01-05 18:15:00+00:00,1767636900,1868.4,1873.77
2026-01-05 18:30:00+00:00,1767637800,1872.0,1876.96
2026-01-05 18:45:00+00:00,1767638700,1868.4,1872.98
2026-01-05 19:00:00+00:00,1767639600,1864.8,1868.99
2026-01-05 19:15:00+00:00,1767640500,1872.0,1875.89
2026-01-05 19:30:00+00:00,1767641400,1879.2,1882.79
2026-01-05 19:45:00+00:00,1767642300,1875.6,1878.93
2026-01-05 20:00:00+00:00,1767643200,1872.0,1875.07
2026-01-05 20:15:00+00:00,1767644100,1868.4,1871.28
2026-01-05 20:30:00+00:00,1767645000,1864.8,1867.49
2026-01-05 20:45:00+00:00,1767645900,1868.4,1870.96
2026-01-05 21:00:00+00:00,1767646800,1872.0,1874.43
2026-01-05 21:15:00+00:00,1767647700,1868.4,1870.74
2026-01-05 21:30:00+00:00,1767648600,1864.8,1867.05
2026-01-05 21:45:00+00:00,1767649500,1864.8,1867.0
2026-01-05 22:00:00+00:00,1767650400,1864.8,1866.94
2026-01-05 22:15:00+00:00,1767651300,1868.4,1870.52
2026-01-05 22:30:00+00:00,1767652200,1872.0,1874.09
2026-01-05 22:45:00+00:00,1767653100,1872.0,1874.08
2026-01-05 23:00:00+00:00,1767654000,1872.0,1874.06
2026-01-05 23:15:00+00:00,1767654900,1872.0,1874.05
2026-01-05 23:30:00+00:00,1767655800,1872.0,1874.04
2026-01-05 23:45:00+00:00,1767656700,1872.0,1874.04
2026-01-06 00:00:00+00:00,1767657600,1872.0,1874.03
2026-01-06 00:15:00+00:00,1767658500,1868.4,1870.42
2026-01-06 00:30:00+00:00,1767659400,1864.8,1866.82
2026-01-06 00:45:00+00:00,1767660300,1864.8,1866.82
2026-01-06 01:00:00+00:00,1767661200,1864.8,1866.82
2026-01-06 01:15:00+00:00,1767662100,1864.8,1866.82
2026-01-06 01:30:00+00:00,1767663000,1864.8,1866.81
2026-01-06 01:45:00+00:00,1767663900,1872.0,1874.02
2026-01-06 02:00:00+00:00,1767664800,1879.2,1881.23
2026-01-06 02:15:00+00:00,1767665700,1872.0,1874.02
2026-01-06 02:30:00+00:00,1767666600,1864.8,1866.81
2026-01-06 02:45:00+00:00,1767667500,1868.4,1870.42
2026-01-06 03:00:00+00:00,1767668400,1872.0,1874.02
2026-01-06 03:15:00+00:00,1767669300,1872.0,1874.02
2026-01-06 03:30:00+00:00,1767670200,1872.0,1874.02
2026-01-06 03:45:00+00:00,1767671100,1872.0,1874.02
2026-01-06 04:00:00+00:00,1767672000,1872.0,1874.02
2026-01-06 04:15:00+00:00,1767672900,1868.4,1870.42
2026-01-06 04:30:00+00:00,1767673800,1864.8,1866.81
2026-01-06 04:45:00+00:00,1767674700,1875.6,1877.62
2026-01-06 05:00:00+00:00,1767675600,1886.4,1888.44
2026-01-06 05:15:00+00:00,1767676500,1882.8,1884.84
2026-01-06 05:30:00+00:00,1767677400,1879.2,1881.23
2026-01-06 05:45:00+00:00,1767678300,1886.4,1888.44
2026-01-06 06:00:00+00:00,1767679200,1893.6,1895.65
2026-01-06 06:15:00+00:00,1767680100,1882.8,1884.84
2026-01-06 06:30:00+00:00,1767681000,1872.0,1874.02
2026-01-06 06:45:00+00:00,1767681900,1879.2,1881.23
2026-01-06 07:00:00+00:00,1767682800,1886.4,1888.44
2026-01-06 07:15:00+00:00,1767683700,1879.2,1881.23
2026-01-06 07:30:00+00:00,1767684600,1872.0,1874.02
2026-01-06 07:45:00+00:00,1767685500,1868.4,1870.42
2026-01-06 08:00:00+00:00,1767686400,1864.8,1866.81
2026-01-06 08:15:00+00:00,1767687300,1861.2,1863.21
2026-01-06 08:30:00+00:00,1767688200,1857.6,1859.61
2026-01-06 08:45:00+00:00,1767689100,1861.2,1863.21
2026-01-06 09:00:00+00:00,1767690000,1864.8,1866.81
2026-01-06 09:15:00+00:00,1767690900,1872.0,1874.02
2026-01-06 09:30:00+00:00,1767691800,1879.2,1881.23
2026-01-06 09:45:00+00:00,1767692700,1879.2,1881.23
2026-01-06 10:00:00+00:00,1767693600,1879.2,1881.23
2026-01-06 10:15:00+00:00,1767694500,1879.2,1881.22
2026-01-06 10:30:00+00:00,1767695400,1879.2,1881.22
2026-01-06 10:45:00+00:00,1767696300,1875.6,1877.62
2026-01-06 11:00:00+00:00,1767697200,1872.0,1874.01
2026-01-06 11:15:00+00:00,1767698100,1872.0,1874.0
2026-01-06 11:30:00+00:00,1767699000,1872.0,1873.99
2026-01-06 11:45:00+00:00,1767699900,1864.8,1866.76
2026-01-06 12:00:00+00:00,1767700800,1857.6,1859.54
2026-01-06 12:15:00+00:00,1767701700,1868.4,1870.32
