data,timeEpochUTC_sec,rate_Hz,pressao_mbar,rate_corrigido_Hz
2026-01-09 10:15:00,1767953700.0,1871.3533,948.4390,1881.3688
2026-01-09 10:45:00,1767955500.0,1881.7933,948.4233,1891.8113
2026-01-09 11:15:00,1767957300.0,1879.0383,948.5645,1889.5188
2026-01-09 11:45:00,1767959100.0,1840.0180,948.4926,1850.0430
2026-01-09 12:15:00,1767960900.0,1825.7000,948.5085,1835.6990
2026-01-09 12:45:00,1767962700.0,1863.7525,948.5296,1874.0306
2026-01-09 13:15:00,1767964500.0,1872.1767,948.5124,1882.4433
2026-01-09 13:45:00,1767966300.0,1879.2100,948.3481,1888.9604
2026-01-09 14:15:00,1767968100.0,1888.1900,948.2001,1897.4847
2026-01-09 14:45:00,1767969900.0,1890.7750,948.0070,1899.4266
2026-01-09 15:15:00,1767971700.0,1885.6217,947.8096,1893.5812
2026-01-09 15:45:00,1767973500.0,1878.8917,947.5729,1886.0246
2026-01-09 16:15:00,1767975300.0,1885.5067,947.3350,1891.8596
2026-01-09 16:45:00,1767977100.0,1884.2600,946.9658,1889.3611
2026-01-12 13:45:00,1768225500.0,1925.2350,946.4461,1928.6542
2026-01-12 14:15:00,1768227300.0,1926.1783,946.2180,1928.8125
2026-01-12 14:45:00,1768229100.0,1930.1217,945.9720,1931.9113
2026-01-12 15:15:00,1768230900.0,1926.1400,945.7049,1927.0054
2026-01-12 15:45:00,1768232700.0,1908.7300,945.3344,1908.3229
2026-01-12 16:15:00,1768234500.0,1878.6575,944.8942,1876.7791
2026-01-12 17:45:00,1768239900.0,1881.0800,943.7578,1875.3849
2026-01-12 18:15:00,1768241700.0,1937.8983,943.4842,1931.0863
2026-01-12 18:45:00,1768243500.0,1932.3300,943.5329,1925.7052
2026-01-12 19:15:00,1768245300.0,1916.0533,943.7634,1910.2715
2026-01-12 19:45:00,1768247100.0,1920.2133,943.4279,1913.2709
2026-01-12 20:15:00,1768248900.0,1917.7917,943.5302,1911.2076
2026-01-12 20:45:00,1768250700.0,1901.3833,943.5272,1894.8453
2026-01-12 21:15:00,1768252500.0,1902.5500,943.5717,1896.1588
2026-01-12 21:45:00,1768254300.0,1899.7983,943.8002,1894.1900
2026-01-12 22:15:00,1768256100.0,1894.2117,944.2708,1890.2098
2026-01-12 22:45:00,1768257900.0,1873.5217,944.9338,1871.7810
2026-01-12 23:15:00,1768259700.0,1871.5717,945.2937,1871.0362
2026-01-12 23:45:00,1768261500.0,1858.5117,945.4973,1858.6567
2026-01-13 00:15:00,1768263300.0,1872.7000,945.3956,1872.5056
2026-01-13 00:45:00,1768265100.0,1883.1517,945.7722,1884.2246
2026-01-13 01:15:00,1768266900.0,1891.3533,946.2306,1893.9825
2026-01-13 01:45:00,1768268700.0,1890.6750,946.4938,1894.1944
2026-01-13 02:15:00,1768270500.0,1890.5000,946.2346,1893.1415
2026-01-13 02:45:00,1768272300.0,1891.0117,946.3651,1894.0958
2026-01-13 03:15:00,1768274100.0,1899.3683,945.7456,1900.3599
2026-01-13 03:45:00,1768275900.0,1902.0267,945.2446,1901.3158
2026-01-13 04:15:00,1768277700.0,1897.5183,945.3972,1897.3267
2026-01-13 04:45:00,1768279500.0,1896.1950,945.7582,1897.2277
2026-01-13 05:15:00,1768281300.0,1894.9067,946.1708,1897.3378
2026-01-13 05:45:00,1768283100.0,1891.0217,946.2807,1893.8200
2026-01-13 06:15:00,1768284900.0,1897.3883,946.2272,1900.0143
2026-01-13 06:45:00,1768286700.0,1893.8033,946.6786,1897.9554
2026-01-13 07:15:00,1768288500.0,1892.6983,947.7049,1900.3320
2026-01-13 07:45:00,1768290300.0,1900.1333,947.1002,1905.7353
2026-01-13 08:15:00,1768292100.0,1901.3717,947.6324,1908.7929
2026-01-13 08:45:00,1768293900.0,1899.9900,948.3494,1909.8525
2026-01-13 09:15:00,1768295700.0,1898.9617,948.1770,1908.2308
2026-01-13 09:45:00,1768297500.0,1903.7550,948.4357,1913.9325
2026-01-13 13:15:00,1768310100.0,1916.3000,948.3972,1926.4119
2026-01-14 10:45:00,1768387500.0,1923.5067,948.6518,1934.5372
2026-01-14 11:15:00,1768389300.0,1925.9450,948.6134,1936.8562
2026-01-14 11:45:00,1768391100.0,1925.0617,948.7921,1936.5868
2026-01-14 12:15:00,1768392900.0,1927.8350,949.0168,1940.1560
2026-01-14 12:45:00,1768394700.0,1925.7967,948.9650,1937.9251
2026-01-14 13:15:00,1768396500.0,1926.0033,948.7662,1937.4443
2026-01-14 13:45:00,1768398300.0,1923.9850,948.5920,1934.8112
2026-01-14 14:15:00,1768400100.0,1928.4500,948.4117,1938.6762
2026-01-14 14:45:00,1768401900.0,1935.5583,948.2628,1945.3042
2026-01-14 15:15:00,1768403700.0,1942.0350,948.0587,1951.1016
2026-01-14 15:45:00,1768405500.0,1939.8450,947.6476,1947.4694
2026-01-14 16:15:00,1768407300.0,1940.7183,947.0348,1946.2124
2026-01-14 16:45:00,1768409100.0,1936.4283,946.6570,1940.5992
2026-01-14 17:15:00,1768410900.0,1942.6067,946.2907,1945.5160
2026-01-14 17:45:00,1768412700.0,1943.0350,945.8674,1944.4728
2026-01-14 18:15:00,1768414500.0,1944.4183,945.6381,1945.0597
2026-01-14 18:45:00,1768416300.0,1940.4800,945.6690,1941.2272
2026-01-14 19:15:00,1768418100.0,1930.6633,945.3166,1930.1900
2026-01-14 19:45:00,1768419900.0,1924.2533,945.0936,1923.0150
2026-01-14 20:15:00,1768421700.0,1918.1133,945.1930,1917.2196
2026-01-14 20:45:00,1768423500.0,1919.8550,945.3219,1919.4028
2026-01-14 21:15:00,1768425300.0,1920.7117,945.5544,1921.0577
2026-01-14 21:45:00,1768427100.0,1917.7767,945.5237,1918.0167
2026-01-14 22:15:00,1768428900.0,1913.3283,945.9116,1914.8955
2026-01-14 22:45:00,1768430700.0,1907.5867,946.3873,1910.7736
2026-01-14 23:15:00,1768432500.0,1909.8750,946.6586,1913.9941
2026-01-14 23:45:00,1768434300.0,1914.5367,946.9896,1919.8015
2026-01-15 00:15:00,1768436100.0,1915.9367,947.0257,1921.3294
2026-01-15 00:45:00,1768437900.0,1910.7583,947.1741,1916.6451
2026-01-15 01:15:00,1768439700.0,1913.5683,947.4309,1920.3452
2026-01-15 01:45:00,1768441500.0,1914.2617,947.6906,1921.9330
2026-01-15 02:15:00,1768443300.0,1913.2150,947.7364,1921.0398
2026-01-15 02:45:00,1768445100.0,1915.7600,947.4602,1922.6454
2026-01-15 03:15:00,1768446900.0,1917.2683,946.9781,1922.5011
2026-01-15 03:45:00,1768448700.0,1919.1933,946.7236,1923.5560
